filename,Bill_Number,Date,Bill_Amount,Time,Bill_Category,processing_time,status
internet-bill_7_updated.png,21-22/05/0348424,5/28/2021,950.81,,Communication,33.27562475,success
stationary9_updated.jpg,1029,10/1/2018,4060,12:16 PM,General,15.14701986,success
fuel-bill_8_updated.jpeg,Jul-23138-ORGNL,7/13/2020,951.06,7:43 PM,Fuel,12.10804367,success
food-bill_5_updated.png,5365,10/18/2018,840,10:45 PM,Dinner,11.5974617,success
stationary5_updated.jpg,na,XX-XX-XXXX,42.48,,General,26.94355106,success
general5_updated.jpg,256X5,12/20/2015,1293.75,,General,22.33096981,success
bus8_updated.jpg,217833,12-Jul,21,,General,23.18893623,success
stationary-2_updated.jpg,54448,3/15/2021,39750.18,,General,26.62835789,success
fd_bill2_updated.png,3475,8/25/2017,303,6:18 PM,Evening Snacks,20.43131876,success
stationary10_updated.jpg,303,3/5/2020,3604,,General,24.13188505,success
internet_bill_1_updated.png,5479767,8/24/2024,590,,Communication,35.145262,success
fuel-bill-6_updated.png,7915,24-Jan,6000, 21:04 ,Fuel,13.83269238,success
food-bill_9_updated.png,G0027238,7/1/2018,1882,22:01 PM,Dinner,23.11885667,success
bus1_updated.jpg,786135,8/6/2018,13,12:42:53 PM,Travel-Bus,21.66665554,success
bus2_updated.jpg,74157,8/9/2015,339,11:18 AM,Travel-Bus,23.14582586,success
inetrnet_updated.png,22-23/04/0458233,4/27/2022,445.23,,Communication,24.83957863,success
internet-bill_1_updated.png,KL20241215012222,12/6/2024,588.82,,Communication,19.14044738,success
fd_bill1_updated.jpg,8543,1/31/2015,52,5:52 PM,Evening Snacks,21.96138096,success
train-bill_3_updated.png,3RJ4TWXGITZCNF81RH,7/13/2019,475.49,12:00,Travel - Train,29.4048183,success
bus10_updated.jpg,11804044,4/4/2018,4,14:45,Travel-Bus,17.20002151,success
internet-bill_8_updated.png,WE806550116071590503301,7/30/2019,515,,Communication,23.3775754,success
general6_updated.jpg,1,4/27/2020,97160,,Software License,33.73434305,success
fuel-bill_3_updated.jpeg,885896-ORGNL,5/3/2024,110,15:02 PM,Fuel,21.04728103,success
fuel-bill_9_updated.png,885896-ORGNL,5/3/2024,110,15:02 PM,Fuel,24.266011,success
food-bill_6_updated.jpg,AB65,5/22/2017,247,12:35:13PM,Lunch,22.26361585,success
general3_updated.jpg,1,7/15/2017,55000,,General,20.97897863,success
food-bill_10_updated.png,100,3/19/2018,182.8,1:20 PM,Lunch,21.25784826,success
fuel-bill_5_updated.jpg,63621707-ORGNL,1/22/2020,2947.22,13:10 PM,Fuel,20.43243575,success
internet-bill_4_updated.png,KL24-25R/892,1/15/2025,600,,Communication,14.20922709,success
food-bill_8_updated.png,89714,5/31/2024,167,10:03 AM,Breakfast,25.97847819,success
fuel-bill_2_updated.jpg,sG-5001,7/13/2020,950.1,7:43 PM,Fuel,38.51940536,success
fd3_updated.jpg,152461188,9/11/2018,55.05,10:23 PM,Dinner,18.707546,success
fuel-bill_7_updated.jpeg,813263,1/7/2022,5000,18:55,Fuel,27.67109561,success
stationary-3_updated.jpg,1,12/20/2021,78500,,General,25.4399507,success
train-bill_1_updated.jpg,15879587,9/5/2017,15,12:19 PM,Travel - Train,22.29159546,success
general4_updated.jpg,MSA-TI-02,7/1/2017,118000,,Software License,24.3168745,success
train-bill_4_updated.jpg,86809031,6/23/2006,108,,Travel - Train,17.17685366,success
food-bill_4_updated.jpg,12/634,1/27/2012,4500,12:18 PM,Lunch,21.57244349,success
fuel11_updated.jpg,940482-ORGNL,3/14/2024,110,12:25:29 PM,Fuel,11.32295203,success
internet-bill_6_updated.png,1489088,11/9/2021,3729,2:43 PM,Communication,13.41437936,success
software8_updated.png,PO53,3/25/2020,41300,,Software License,17.66135073,success
fuel-bill_4_updated.png,592480-ORGNL,7/13/2019,2338.95,10:18 PM,Fuel,18.80446243,success
internet-bill_5_updated.png,9-RJINV/687313,12/18/2020,1296.82,,Communication,12.93009973,success
food-bill10_updated.jpg,53,7/1/2017,419,9:09 AM,Breakfast,17.92914343,success
general2_updated.jpg,DD-TI-02,7/1/2017,22400,,General,23.09149313,success
fuel-bill_10_updated.jpeg,18779-ORGNL,8/6/2018,300.42,7:43 PM,Fuel,24.09425449,success
food-bill_7_updated.png,9292,11/12/2022,5214,9:03 PM,Dinner,32.9178102,success
internet3_updated.png,22-23/02/0266828,13-Feb-23,352.82,,Communication,29.67045331,success
general7_updated.jpg,F012345,7/1/2013,36289.05,,General,20.67097187,success
internet-bill_9_updated.png,A9R23R9995191355,12/6/2022,470.82,11:04:32 AM,Communication,33.22761202,success
food-bill_2_updated.png,928,7/10/2021,80,,Food,19.89003658,success
fuel-bill_1_updated.png,927267,5/9/2017,78,22:59:34,Fuel,18.93649626,success
bus3_updated.png,176137,7/3/2018,730,12:03:54 PM,Travel - Bus,21.67452621,success
