filename,differences
internet-bill_7_updated.png,"{'Date': ('05/28/2021', '5/28/2021'), 'Time': (nan, nan)}"
stationary9_updated.jpg,"{'Date': ('10/01/2018', '10/1/2018')}"
fuel-bill_8_updated.jpeg,"{'Bill_Number': ('Bi71NOJu1-23138-ORGNL', 'Jul-23138-ORGNL'), 'Date': ('07/13/2020', '7/13/2020'), 'Bill_Amount': (1005.14, 951.06), 'Time': ('07:43 PM', '7:43 PM')}"
stationary5_updated.jpg,"{'Bill_Number': ('885896-ORGNL', 'na'), 'Time': (nan, nan)}"
general5_updated.jpg,"{'Time': (nan, nan)}"
bus8_updated.jpg,"{'Bill_Number': ('0021783323', '217833'), 'Date': ('07/12', '12-Jul'), 'Time': (nan, nan)}"
stationary-2_updated.jpg,"{'Date': ('03/15/2021', '3/15/2021'), 'Time': (nan, nan)}"
fd_bill2_updated.png,"{'Date': ('08/25/17', '8/25/2017'), 'Time': ('06:18 PM', '6:18 PM')}"
stationary10_updated.jpg,"{'Date': ('03/05/2020', '3/5/2020'), 'Time': (nan, nan)}"
internet_bill_1_updated.png,"{'Bill_Number': ('0005479767', '5479767'), 'Date': ('08/24/2024', '8/24/2024'), 'Time': (nan, nan), 'Bill_Category': ('General', 'Communication')}"
fuel-bill-6_updated.png,"{'Bill_Number': ('A12/016', '7915'), 'Date': ('24 Jan', '24-Jan'), 'Bill_Amount': (101.34, 6000.0), 'Time': (' Time: ', ' 21:04 ')}"
food-bill_9_updated.png,"{'Bill_Number': ('BLLNOG0027238', 'G0027238'), 'Date': ('07/01/2018', '7/1/2018')}"
bus1_updated.jpg,"{'Date': ('08/06/1812', '8/6/2018'), 'Bill_Category': ('Printing & Stationery', 'Travel-Bus')}"
bus2_updated.jpg,"{'Bill_Number': ('074157', '74157'), 'Date': ('08/09/15', '8/9/2015'), 'Bill_Category': ('Breakfast', 'Travel-Bus')}"
inetrnet_updated.png,"{'Date': ('04/27/2022', '4/27/2022'), 'Time': (nan, nan)}"
internet-bill_1_updated.png,"{'Date': ('12/06/2024', '12/6/2024'), 'Time': (nan, nan)}"
fd_bill1_updated.jpg,"{'Date': ('01/31/2015', '1/31/2015'), 'Time': ('05:52 PM', '5:52 PM')}"
train-bill_3_updated.png,"{'Bill_Number': ('SRJ4TWXGITZCNF81RH', '3RJ4TWXGITZCNF81RH'), 'Date': ('2019-10-11', '7/13/2019'), 'Bill_Amount': (405.0, 475.49), 'Bill_Category': ('Travel - Auto', 'Travel - Train')}"
bus10_updated.jpg,"{'Date': ('04/04/2018', '4/4/2018'), 'Bill_Category': ('Staff Welfare', 'Travel-Bus')}"
internet-bill_8_updated.png,"{'Date': ('07/30/2019', '7/30/2019'), 'Time': (nan, nan), 'Bill_Category': ('General', 'Communication')}"
general6_updated.jpg,"{'Date': ('04/27/2020', '4/27/2020'), 'Time': (nan, nan)}"
fuel-bill_3_updated.jpeg,"{'Date': ('05/03/2024', '5/3/2024')}"
fuel-bill_9_updated.png,"{'Date': ('03/05/2024', '5/3/2024')}"
food-bill_6_updated.jpg,"{'Date': ('05/22/2017', '5/22/2017'), 'Bill_Category': ('Dinner', 'Lunch')}"
general3_updated.jpg,"{'Bill_Number': ('N29ALDGE1234AZ5', '1'), 'Date': ('15/07/2017', '7/15/2017'), 'Time': (nan, nan)}"
food-bill_10_updated.png,"{'Date': ('03/19/2018', '3/19/2018'), 'Time': ('03:20 PM', '1:20 PM')}"
fuel-bill_5_updated.jpg,"{'Date': ('01/22/2020', '1/22/2020')}"
internet-bill_4_updated.png,"{'Bill_Number': ('svcdshahaskmKL24-25R/892', 'KL24-25R/892'), 'Date': ('01/15/2025', '1/15/2025'), 'Time': (nan, nan), 'Bill_Category': ('General', 'Communication')}"
food-bill_8_updated.png,"{'Date': ('05/31/24', '5/31/2024')}"
fuel-bill_2_updated.jpg,"{'Date': ('07/13/2020', '7/13/2020'), 'Time': ('07:43 PM', '7:43 PM')}"
fd3_updated.jpg,"{'Bill_Number': ('0152461188', '152461188'), 'Date': ('09/11/2018', '9/11/2018')}"
fuel-bill_7_updated.jpeg,"{'Bill_Number': ('IXNN04944921', '813263'), 'Date': ('Not Found', '1/7/2022'), 'Bill_Amount': (0.0, 5000.0)}"
stationary-3_updated.jpg,"{'Time': (nan, nan)}"
train-bill_1_updated.jpg,"{'Bill_Number': ('R2701909/05/2015', '15879587'), 'Date': ('05/15/2015', '9/5/2017'), 'Bill_Amount': (5.16, 15.0), 'Bill_Category': ('Travel - Cab', 'Travel - Train')}"
general4_updated.jpg,"{'Date': ('07/01/17', '7/1/2017'), 'Time': (nan, nan)}"
train-bill_4_updated.jpg,"{'Bill_Number': ('JFBAJEENRS.108/-', '86809031'), 'Date': ('06/23/2006', '6/23/2006'), 'Time': (nan, nan), 'Bill_Category': ('Travel - Cab', 'Travel - Train')}"
food-bill_4_updated.jpg,"{'Date': ('01/27/2012', '1/27/2012')}"
fuel11_updated.jpg,"{'Bill_Number': ('No940482-ORGNL', '940482-ORGNL'), 'Date': ('03/14/24', '3/14/2024')}"
internet-bill_6_updated.png,"{'Date': ('11/09/2021', '11/9/2021'), 'Time': ('02:43 PM', '2:43 PM')}"
software8_updated.png,"{'Date': ('03-25-2020', '3/25/2020'), 'Time': (nan, nan)}"
fuel-bill_4_updated.png,"{'Date': ('07/13/2019', '7/13/2019')}"
internet-bill_5_updated.png,"{'Time': (nan, nan)}"
food-bill10_updated.jpg,"{'Bill_Number': ('G27AASCS2460H1ZO', '53'), 'Date': ('07/01/17', '7/1/2017'), 'Time': ('09:09 AM', '9:09 AM')}"
general2_updated.jpg,"{'Date': ('07/01/17', '7/1/2017'), 'Time': (nan, nan)}"
fuel-bill_10_updated.jpeg,"{'Date': ('08/06/2018', '8/6/2018'), 'Time': ('07:43 PM', '7:43 PM')}"
food-bill_7_updated.png,"{'Time': ('09:03 PM', '9:03 PM')}"
internet3_updated.png,"{'Date': ('13 Feb 2023', '13-Feb-23'), 'Time': (nan, nan)}"
general7_updated.jpg,"{'Date': ('07/01/2013', '7/1/2013'), 'Bill_Amount': (36.29, 36289.05), 'Time': (nan, nan)}"
internet-bill_9_updated.png,"{'Date': ('12/06/2022', '12/6/2022')}"
food-bill_2_updated.png,"{'Bill_Number': ('27AMLPB3146J1140', '928'), 'Date': ('02/28/yyyy', '7/10/2021'), 'Bill_Amount': (0.0, 80.0), 'Time': (nan, nan), 'Bill_Category': ('General', 'Food')}"
fuel-bill_1_updated.png,"{'Bill_Number': ('6242805', '927267'), 'Date': ('05/09/2017', '5/9/2017')}"
bus3_updated.png,"{'Date': ('07/03/18', '7/3/2018'), 'Bill_Category': ('Travel - Auto', 'Travel - Bus')}"
