filename,differences
internet-bill_8_updated.png,"{'Date': ('07/30/2019', '7/30/2019'), 'Bill_Amount': ('515.0', '515'), 'Time': (nan, nan)}"
fd_bill1_updated.jpg,"{'Bill_Number': ('B11No8543', '8543'), 'Date': ('01/31/2015', '31/01/2015'), 'Bill_Amount': ('52.0', '52'), 'Time': (nan, '5:52:50 PM'), 'Bill_Category': ('General', 'Evening Snacks')}"
food-bill_10_updated.png,"{'Bill_Number': ('Phone 503555-0190 INVOICE', '100'), 'Date': ('03/09/2018', '3/9/2018'), 'Time': ('12:20 PM', '1:20 PM'), 'Bill_Category': ('Communication', 'Lunch')}"
fuel-bill_10_updated.jpeg,"{'Date': ('06/08/18', '6/8/2018'), 'Bill_Amount': ('0.0', '300'), 'Time': (nan, '19:43:42')}"
train-bill_4_updated.jpg,"{'Bill_Number': ('01CH', '86809031'), 'Date': ('06/23/2006', '23/0/2006'), 'Bill_Amount': ('0', '108'), 'Time': ('20:13:32', 'Error'), 'Bill_Category': ('Travel - Cab', 'Error')}"
fuel-bill_2_updated.jpg,"{'Bill_Number': ('Ju1-23138-ORGNL', 'Jul-23138-ORGNL'), 'Date': ('07/13/2020', '13/07/2020'), 'Time': (nan, '19:43:19')}"
stationary10_updated.jpg,"{'Bill_Number': (nan, '303'), 'Date': ('05-Mar-2020', '5-Mar-20'), 'Bill_Amount': ('3604.0', '3604'), 'Time': (nan, nan)}"
internet-bill_5_updated.png,"{'Time': (nan, 'Not Available')}"
fd_bill2_updated.png,"{'Date': ('08/25/17', '8/25/2017'), 'Bill_Amount': ('257.0', '303'), 'Time': ('Not Available', '18:06'), 'Bill_Category': ('Software License', 'Evening Snacks')}"
internet-bill_4_updated.png,"{'Bill_Number': ('9349343310', 'KL24-25R/892'), 'Date': ('2025-01-15', '1/15/2025'), 'Bill_Amount': ('0', '600'), 'Time': (nan, nan)}"
stationary-2_updated.jpg,"{'Bill_Number': ('Invoice number not available', '54448'), 'Date': (nan, '8/3/2021'), 'Time': (nan, nan)}"
fd3_updated.jpg,"{'Bill_Number': ('12', '152461188'), 'Date': ('11/09/2018', '11/9/2018'), 'Bill_Category': ('Food', 'Dinner')}"
internet-bill_9_updated.png,"{'Bill_Number': ('Error', 'A9R23R9995191355'), 'Date': ('Error', '6/12/2022'), 'Bill_Amount': ('Error', '470.82'), 'Bill_Category': ('Error', 'Communication')}"
fuel-bill_5_updated.jpg,"{'Bill_Number': ('26226693', '63621707'), 'Date': ('01/22/2020', '1/22/2020'), 'Time': ('13:10 PM', '13:10')}"
food-bill_2_updated.png,"{'Bill_Number': ('BNO', '928'), 'Date': ('02/09/20', '7/10/2021'), 'Bill_Amount': ('0', '80'), 'Time': (nan, nan), 'Bill_Category': ('Staff Welfare', 'Food')}"
fuel-bill_4_updated.png,"{'Bill_Number': ('$f34131140', '592480'), 'Date': ('07/13/2019', '13/07/2019'), 'Bill_Amount': ('0.0', '2338.95'), 'Time': (nan, '22:18:26')}"
stationary-3_updated.jpg,"{'Bill_Amount': ('78500.0', '78500'), 'Time': (nan, nan)}"
bus1_updated.jpg,"{'Bill_Number': ('Not Available', '786135'), 'Date': ('Not Available', '8/6/2018'), 'Bill_Amount': ('Not Available', '13'), 'Time': ('Not Available', '12:42 PM'), 'Bill_Category': ('Not Available', 'Travel - Bus')}"
fuel-bill_1_updated.png,"{'Bill_Number': ('ENV0ICE N0: 92726Z', '927267'), 'Date': ('05/09/2017', '5/9/2017'), 'Bill_Amount': ('0.0', '78'), 'Time': ('22:59 PM', '22:59:34')}"
general7_updated.jpg,"{'Bill_Number': ('Error', 'F012345'), 'Date': ('Error', '1/7/2013'), 'Bill_Amount': ('Error', '36289'), 'Time': ('Error', 'Not available'), 'Bill_Category': ('Error', 'General')}"
food-bill_4_updated.jpg,"{'Bill_Number': ('#12/634', '12/634'), 'Date': ('01/27/2012', '27-Jan-12'), 'Bill_Amount': ('4500.0', '4500')}"
internet_bill_1_updated.png,"{'Bill_Number': ('Error', '5479767'), 'Date': ('Error', '24.08.2024'), 'Bill_Amount': ('Error', '590'), 'Bill_Category': ('Error', 'Communication')}"
general2_updated.jpg,"{'Bill_Number': ('Dated', 'DD-TI-02'), 'Date': (nan, '1/7/2017'), 'Bill_Amount': ('20000.0', '22400'), 'Time': (nan, nan)}"
food-bill_7_updated.png,"{'Bill_Number': (nan, '9292'), 'Bill_Amount': ('26514.0', '5466'), 'Time': ('09:03 PM', '09.03 PM'), 'Bill_Category': ('General', 'Dinner')}"
food-bill_8_updated.png,"{'Bill_Number': ('Error', '89714'), 'Date': ('Error', '31/05/24'), 'Bill_Amount': ('Error', '167'), 'Time': ('Error', '10:03'), 'Bill_Category': ('Error', 'Breakfast')}"
software8_updated.png,"{'Bill_Number': ('Not Available', 'PO53'), 'Date': ('Not Available', '25/03/2020'), 'Bill_Amount': ('Not Available', '41300'), 'Time': ('Not Available', 'Error'), 'Bill_Category': ('Not Available', 'General')}"
fuel-bill_9_updated.png,"{'Date': ('05/03/2024', '5/3/2024'), 'Bill_Amount': ('110.0', '110')}"
